"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"CDR11866";"4020628742980";"9 Monkeys of Shaolin  PC";"12.500";"0";"12.500";"Neuheit";"4020628742980.jpg";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11967";"3307216167365";"Assassin´s Creed Valhalla  PC";"41.500";"0";"41.500";"Neuheit";"";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11908";"9120080071262";"Biomutant  PC";"39.000";"0";"39.000";"Neuheit";"9120080071262.jpg";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11068";"5026555065399";"Civilization VI  PC";"7.990";"0";"7.990";"lieferbar";"5026555065399usk.jpg";"12";"";"";"HCDR";"";"PC SPIELE";"Strategiespiele"
"CDR11993";"4020628712761";"Commandos 2 & Praetorians: HD Remaster Double  PC";"24.500";"0";"24.500";"Neuheit";"";"16";"";"";"HCDR";"";"PC SPIELE";"Strategiespiele"
"CDR11442";"4020628777074";"Cossacks 3  Gold Edition  PC";"6.500";"0";"6.500";"lieferbar";"4020628777074.jpg";"12";"";"";"HCDR";"";"PC SPIELE";"Strategiespiele"
"CDR11991";"4020628709631";"Crusader Kings III  PC";"30.500";"0";"30.500";"Neuheit";"";"18";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11888";"5902367641221";"Cyberpunk 2077  Day One Edition  PC";"40.000";"0";"40.000";"Neuheit";"5902367641221.jpg";"18";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11936";"8023171044873";"Death Stranding  DeLuxe Edition - Steelbook  PC";"44.990";"0";"44.990";"lieferbar";"8023171044873.jpg";"16";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11955";"9120080075277";"Desperados 3  Collector´s Edition  PC";"69.990";"0";"69.990";"lieferbar";"";"16";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11953";"9120080074652";"Destroy All Humans!  PC";"19.000";"0";"19.000";"lieferbar";"9120080074652.jpg";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11923";"3701403100560";"Detroit Become Human  PC";"26.000";"0";"26.000";"lieferbar";"";"16";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11999";"4020628709822";"DIRT 5  Day One Edition  PC";"33.500";"0";"33.500";"Neuheit";"";"";"";"";"HCDR";"";"PC SPIELE";"Rennspiele"
"CDR11049";"5055856407560";"Dishonored 2: Das Vermächtnis der Maske - Import (AT)  PC";"4.490";"0";"4.490";"lieferbar";"5055856407560.jpg";"19";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR10865";"5055856403609";"DOOM - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"doom_pegi_pc.jpg";"19";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11947";"4020628722562";"F1 2020 - 70 Jahre F1 Edition  PC";"31.500";"0";"31.500";"lieferbar";"4020628722562.jpg";"0";"";"";"HCDR";"";"PC SPIELE";"Rennspiele"
"CDR11948";"4020628722500";"F1 2020 - Schumacher DeLuxe Edition  PC";"36.500";"0";"36.500";"lieferbar";"";"0";"";"";"HCDR";"";"PC SPIELE";"Rennspiele"
"CDR10574";"5055856406464";"Fallout 4 - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"5055856406464.jpg";"19";"";"";"HCDR";"";"PC SPIELE";"Rollenspiele RPG"
"CDR11857";"5055277036073";"Football Manager 2020  PC";"19.990";"0";"19.990";"lieferbar";"5055277036073.jpg";"0";"";"";"HCDR";"";"PC SPIELE";"Simulationen"
"CDR11885";"3307216145271";"Gods & Monsters  PC";"41.500";"0";"41.500";"Neuheit";"";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11501";"4020628771188";"Goldgräber Simulator  PC";"6.500";"0";"6.500";"lieferbar";"4020628771188.jpg";"0";"";"";"HCDR";"";"PC SPIELE";"Simulationen"
"CDR11941";"3665962001303";"Hunting Simulator 2  PC";"19.990";"0";"19.990";"lieferbar";"3665962001303.jpg";"16";"";"";"HCDR";"";"PC SPIELE";"Simulationen"
"CDR11971";"4020628714857";"Immortal Realms: Vampire Wars  PC";"24.500";"0";"24.500";"Neuheit";"4020628714857.jpg";"16";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
