"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"CDR11866";"4020628742980";"9 Monkeys of Shaolin  PC";"12.500";"0";"12.500";"Neuheit";"4020628742980.jpg";"12";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11792";"4020628743444";"Ash of Gods: Redemption  PC";"3.990";"0";"3.990";"kein Bestand";"4020628743444.jpg";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11908";"9120080071262";"Biomutant  PC";"39.000";"0";"39.000";"Neuheit";"9120080071262.jpg";"";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11068";"5026555065399";"Civilization VI  PC";"5.990";"0";"5.990";"lieferbar";"5026555065399usk.jpg";"12";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11993";"4020628712761";"Commandos 2 & Praetorians: HD Remaster Double  PC";"24.500";"0";"24.500";"Neuheit";"";"16";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR12252";"5055277039647";"Company of Heroes 2  All Out War Edition  PC";"19.500";"0";"19.500";"Neuheit";"";"16";"";"";"HCDR";"";"PC";""
"CDR11622";"5055277027286";"Company of Heroes 2  Platinum Edition  PC";"5.990";"0";"5.990";"lieferbar";"";"16";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11442";"4020628777074";"Cossacks 3  Gold Edition  PC";"6.500";"0";"6.500";"lieferbar";"4020628777074.jpg";"12";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11991";"4020628709631";"Crusader Kings III  PC";"30.500";"0";"30.500";"lieferbar";"";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11888";"5902367641221";"Cyberpunk 2077  Day One Edition  PC";"40.000";"0";"40.000";"Neuheit";"5902367641221.jpg";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11834";"9120080074324";"Darksiders Genesis  PC";"13.990";"0";"13.990";"kein Bestand";"9120080074324.jpg";"12";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11923";"3701403100560";"Detroit Become Human  PC";"26.000";"0";"26.000";"lieferbar";"";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11999";"4020628709822";"DIRT 5  Day One Edition  PC";"33.500";"0";"33.500";"Neuheit";"";"";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11049";"5055856407560";"Dishonored 2: Das Vermächtnis der Maske - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"5055856407560.jpg";"19";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR10865";"5055856403609";"DOOM - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"doom_pegi_pc.jpg";"19";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11947";"4020628722562";"F1 2020 - 70 Jahre F1 Edition  PC";"31.500";"0";"31.500";"lieferbar";"4020628722562.jpg";"0";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11948";"4020628722500";"F1 2020 - Schumacher DeLuxe Edition  PC";"36.500";"0";"36.500";"lieferbar";"";"0";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11429";"5055856418580";"Fallout 4  Game of the Year Edition - Import (AT)  PC";"9.990";"0";"9.990";"lieferbar";"5055856418580.jpg";"19";"";"";"HCDR";"";"PC";"Rollenspiele RPG"
